Tue Nov 26 11:05:37 2019,162315,0,5.49,-1.03,3.82,69.05,-18.94,-7.53,"1
",Tue Nov 26 12:21:40 2019,202847,1,-2.23,-11.62,3.72,1.18,-1.92,1.28,"1
",Tue Nov 26 12:35:26 2019,231177,2,0.79,-2.48,8.46,-4.81,2.23,0.77,"1
"
Tue Nov 26 11:05:37 2019,162316,0,5.36,-0.08,4.99,68.99,-25.3,-0.98,"1
",Tue Nov 26 12:21:40 2019,202848,1,-2.16,-11.52,3.74,1.85,-2.64,0.85,"1
",Tue Nov 26 12:35:26 2019,231178,2,0.78,-2.55,8.22,-5.15,2.55,1.66,"1
"
Tue Nov 26 11:05:37 2019,162317,0,5.71,0.47,5.51,62.84,-40.37,-8.09,"1
",Tue Nov 26 12:21:40 2019,202849,1,-2.07,-11.58,3.79,1.9,-2.66,0.4,"1
",Tue Nov 26 12:35:26 2019,231179,2,0.83,-2.58,8.24,-6.18,3.21,1.8,"1
"
Tue Nov 26 11:05:37 2019,162318,0,5.81,1.2,6.43,40.98,-39.27,-11.91,"1
",Tue Nov 26 12:21:40 2019,202850,1,-2.16,-11.59,3.8,1.95,-2.9,-0.11,"1
",Tue Nov 26 12:35:26 2019,231180,2,0.77,-2.58,8.22,-6.69,2.66,2.15,"1
"
Tue Nov 26 11:05:37 2019,162319,0,6.29,-1.35,6.55,40.56,-29.82,-13.52,"1
",Tue Nov 26 12:21:40 2019,202851,1,-2.11,-11.66,3.83,1.94,-3.3,0.07,"1
",Tue Nov 26 12:35:26 2019,231180,2,0.77,-2.58,8.22,-6.69,2.66,2.15,"1
"
Tue Nov 26 11:05:37 2019,162320,0,6.41,0.4,6.55,33.89,-19.31,-9.79,"1
",Tue Nov 26 12:21:40 2019,202852,1,-2.13,-11.61,3.85,2.17,-3.15,-0.03,"1
",Tue Nov 26 12:35:26 2019,231181,2,0.68,-2.63,8.28,-7.24,2.73,1.41,"1
"
Tue Nov 26 11:05:37 2019,162321,0,6.52,-0.23,7.07,33.36,-6.89,-11.29,"1
",Tue Nov 26 12:21:40 2019,202853,1,-2.08,-11.58,3.76,2.27,-2.92,0.23,"1
",Tue Nov 26 12:35:26 2019,231182,2,0.71,-2.74,8.31,-6.85,1.8,0.4,"1
"
Tue Nov 26 11:05:37 2019,162322,0,6,0.14,8.52,31.33,19.09,0.2,"1
",Tue Nov 26 12:21:40 2019,202854,1,-2.09,-11.61,3.7,2.05,-2.47,0.24,"1
",Tue Nov 26 12:35:27 2019,231183,2,0.7,-2.71,8.33,-5.4,1.08,-0.47,"1
"
Tue Nov 26 11:05:37 2019,162323,0,6.4,-0.42,7.3,28.76,34.2,-1.21,"1
",Tue Nov 26 12:21:41 2019,202855,1,-2.16,-11.61,3.8,2.38,-2.27,0.56,"1
",Tue Nov 26 12:35:27 2019,231184,2,0.73,-2.68,8.36,-3.44,1.02,-1.15,"1
"
Tue Nov 26 11:05:37 2019,162324,0,6.87,0.66,6.44,44.74,45.38,0.19,"1
",Tue Nov 26 12:21:41 2019,202856,1,-2.09,-11.61,3.74,2.18,-2.25,0.41,"1
",Tue Nov 26 12:35:27 2019,231185,2,0.83,-2.66,8.4,-3.18,0.95,-1.35,"1
"
Tue Nov 26 11:05:38 2019,162325,0,6.5,1.09,7.9,50.16,50.88,19.37,"1
",Tue Nov 26 12:21:41 2019,202857,1,-2.22,-11.61,3.87,1.87,-2.37,0.7,"1
",Tue Nov 26 12:35:27 2019,231186,2,0.86,-2.58,8.28,-3.17,1.7,-0.77,"1
"
Tue Nov 26 11:05:38 2019,162326,0,5.96,1.24,5.62,33.02,35.4,18.66,"1
",Tue Nov 26 12:21:41 2019,202858,1,-2.15,-11.62,3.79,1.82,-2.63,0.65,"1
",Tue Nov 26 12:35:27 2019,231187,2,0.8,-2.6,8.27,-3.83,3.02,-0.44,"1
"
Tue Nov 26 11:05:38 2019,162327,0,6.18,-0.05,5.04,22.43,20.08,26.98,"1
",Tue Nov 26 12:21:41 2019,202859,1,-2.14,-11.64,3.72,1.88,-2.69,0.29,"1
",Tue Nov 26 12:35:27 2019,231188,2,0.69,-2.59,8.29,-4.16,1.42,-0.5,"1
"
Tue Nov 26 11:05:38 2019,162328,0,6.47,-0.1,5.17,22.11,21.63,16.07,"1
",Tue Nov 26 12:21:41 2019,202860,1,-2.09,-11.61,3.85,1.78,-2.48,0.69,"1
",Tue Nov 26 12:35:27 2019,231189,2,0.78,-2.5,8.31,-5.3,1.7,1.53,"1
"
Tue Nov 26 11:05:38 2019,162329,0,5.09,-0.14,5.69,18.04,14.81,14.93,"1
",Tue Nov 26 12:21:41 2019,202861,1,-2.08,-11.54,3.72,1.9,-2.47,0.08,"1
",Tue Nov 26 12:35:27 2019,231190,2,0.78,-2.59,8.36,-5.34,1.73,1.86,"1
"
Tue Nov 26 11:05:38 2019,162330,0,4.94,-0.18,5.93,25.11,7.51,7.05,"1
",Tue Nov 26 12:21:41 2019,202862,1,-2.17,-11.64,3.78,2.19,-2.44,0.1,"1
",Tue Nov 26 12:35:27 2019,231191,2,0.69,-2.54,8.34,-4.96,1.78,1.69,"1
"
Tue Nov 26 11:05:38 2019,162331,0,5.02,0.31,6.24,24.26,0.52,0.76,"1
",Tue Nov 26 12:21:41 2019,202863,1,-2.05,-11.68,3.84,2.08,-2.59,0.1,"1
",Tue Nov 26 12:35:27 2019,231192,2,0.73,-2.62,8.28,-5.07,1.54,2.41,"1
"
Tue Nov 26 11:05:38 2019,162332,0,4.91,0.21,6.5,19.73,-4.98,3.48,"1
",Tue Nov 26 12:21:41 2019,202864,1,-2.2,-11.66,3.84,1.93,-2.95,0.59,"1
",Tue Nov 26 12:35:27 2019,231193,2,0.8,-2.5,8.27,-6.31,1.53,2.95,"1
"
Tue Nov 26 11:05:38 2019,162333,0,4.92,0.61,7.34,19.63,-5.96,5.22,"1
",Tue Nov 26 12:21:41 2019,202865,1,-2.15,-11.63,3.84,1.73,-2.98,0.39,"1
",Tue Nov 26 12:35:27 2019,231194,2,0.75,-2.59,8.29,-6.49,1.79,3.47,"1
"
Tue Nov 26 11:05:38 2019,162334,0,5.03,0.56,7.96,15.14,-3.07,6.15,"1
",Tue Nov 26 12:21:41 2019,202866,1,-2.15,-11.6,3.83,1.87,-3.11,0.67,"1
",Tue Nov 26 12:35:27 2019,231195,2,0.65,-2.66,8.26,-6.2,1.45,3.6,"1
"
Tue Nov 26 11:05:38 2019,162335,0,5.12,-0.23,6.81,8.41,-5.63,1.36,"1
",Tue Nov 26 12:21:41 2019,202867,1,-2.05,-11.62,3.82,1.6,-2.18,0.76,"1
",Tue Nov 26 12:35:27 2019,231196,2,0.64,-2.66,8.32,-4.93,0.95,3.06,"1
"
,,,,,,,,,,Tue Nov 26 12:21:41 2019,202868,1,-2.23,-11.59,3.83,1.44,-2.47,0.42,"1
",Tue Nov 26 12:35:27 2019,231197,2,0.71,-2.7,8.31,-6.62,1.21,2.47,"1
"
,,,,,,,,,,Tue Nov 26 12:21:41 2019,202869,1,-2.11,-11.62,3.8,2.04,-2.52,0.51,"1
",Tue Nov 26 12:35:27 2019,231198,2,0.62,-2.79,8.42,-5.82,0.58,1.83,"1
"
,,,,,,,,,,Tue Nov 26 12:21:41 2019,202870,1,-2.12,-11.62,3.8,1.92,-2.71,0.61,"1
",Tue Nov 26 12:35:27 2019,231199,2,0.68,-2.68,8.29,-4.37,0.56,1.64,"1
"
,,,,,,,,,,Tue Nov 26 12:21:41 2019,202871,1,-2.11,-11.62,3.74,2.04,-2.45,0.19,"1
",Tue Nov 26 12:35:27 2019,231200,2,0.74,-2.73,8.32,-3.92,0.65,1.17,"1
"
,,,,,,,,,,Tue Nov 26 12:21:42 2019,202872,1,-2.22,-11.61,3.77,2.11,-2.62,0.6,"1
",Tue Nov 26 12:35:28 2019,231201,2,0.77,-2.62,8.26,-3.82,0.41,0.68,"1
"
,,,,,,,,,,Tue Nov 26 12:21:42 2019,202873,1,-2.07,-11.63,3.74,2.27,-2.52,0.12,"1
",Tue Nov 26 12:35:28 2019,231202,2,0.83,-2.61,8.27,-4.74,0.92,0.45,"1
"
