Mon Dec 16 00:40:57 2019	 9885.0	 1.00000	 -0.06000	 -8.60000	 7.19000	 -0.47000	 -4.13000	 -0.58000	2	
Mon Dec 16 00:40:57 2019	 9886.0	 1.00000	 0.17000	 -8.40000	 7.04000	 4.37000	 -1.69000	 0.41000	2	
Mon Dec 16 00:40:57 2019	 9887.0	 1.00000	 -0.13000	 -8.59000	 7.14000	 4.98000	 -1.45000	 0.86000	2	
Mon Dec 16 00:40:57 2019	 9888.0	 1.00000	 -0.13000	 -8.49000	 7.17000	 -0.51000	 -4.40000	 0.79000	2	
Mon Dec 16 00:40:57 2019	 9889.0	 1.00000	 0.07000	 -8.52000	 7.20000	 -0.24000	 -5.23000	 -1.56000	2	
Mon Dec 16 00:40:57 2019	 9890.0	 1.00000	 0.05000	 -8.61000	 7.08000	 -3.35000	 -6.40000	 -1.07000	2	
Mon Dec 16 00:40:57 2019	 9891.0	 1.00000	 0.16000	 -8.48000	 7.05000	 3.59000	 -2.27000	 0.51000	2	
Mon Dec 16 00:40:57 2019	 9892.0	 1.00000	 0.08000	 -8.52000	 7.13000	 4.80000	 -1.27000	 1.93000	2	
Mon Dec 16 00:40:57 2019	 9893.0	 1.00000	 0.07000	 -8.36000	 7.18000	 1.57000	 -2.46000	 -0.36000	2	
Mon Dec 16 00:40:57 2019	 9894.0	 1.00000	 -0.04000	 -8.61000	 7.26000	 -1.57000	 -2.85000	 0.02000	2	
Mon Dec 16 00:40:57 2019	 9895.0	 1.00000	 0.14000	 -8.50000	 6.87000	 2.63000	 -3.18000	 1.18000	2	
Mon Dec 16 00:40:57 2019	 9896.0	 1.00000	 -0.11000	 -8.52000	 7.22000	 6.69000	 -4.32000	 0.18000	2	
Mon Dec 16 00:40:57 2019	 9897.0	 1.00000	 0.00000	 -8.66000	 7.38000	 4.85000	 -8.96000	 -1.71000	2	
Mon Dec 16 00:40:57 2019	 9898.0	 1.00000	 0.10000	 -8.50000	 6.99000	 8.60000	 -20.26000	 2.44000	2	
Mon Dec 16 00:40:57 2019	 9899.0	 1.00000	 0.39000	 -8.48000	 7.25000	 29.99000	 -15.12000	 1.73000	2	
Mon Dec 16 00:40:57 2019	 9900.0	 1.00000	 0.59000	 -7.97000	 6.93000	 30.89000	 -6.77000	 6.78000	2	
Mon Dec 16 00:40:57 2019	 9901.0	 1.00000	 0.28000	 -7.69000	 7.70000	 29.58000	 -12.39000	 -0.67000	2	
Mon Dec 16 00:40:58 2019	 9902.0	 1.00000	 0.11000	 -7.66000	 8.57000	 27.44000	 -46.95000	 -4.85000	2	
Mon Dec 16 00:40:58 2019	 9903.0	 1.00000	 1.50000	 -5.40000	 11.57000	 85.37000	 -143.96000	 -25.51000	2	
Mon Dec 16 00:40:58 2019	 9904.0	 1.00000	 1.08000	 -9.09000	 10.25000	 35.60000	 -220.95000	 8.45000	2	
Mon Dec 16 00:40:58 2019	 9905.0	 1.00000	 3.54000	 -5.60000	 8.80000	 -13.31000	 -250.14000	 -0.31000	2	
Mon Dec 16 00:40:58 2019	 9906.0	 1.00000	 5.39000	 -5.51000	 6.70000	 6.04000	 -250.14000	 27.71000	2	
Mon Dec 16 00:40:58 2019	 9907.0	 1.00000	 4.14000	 -6.44000	 1.56000	 -151.63000	 -250.14000	 174.45000	2	
Mon Dec 16 00:40:58 2019	 9908.0	 1.00000	 3.35000	 -5.22000	 -2.94000	 -195.68000	 -250.14000	 178.61000	2	
Mon Dec 16 00:40:58 2019	 9909.0	 1.00000	 4.33000	 -10.10000	 -4.81000	 -136.89000	 -126.42000	 129.43000	2	
Mon Dec 16 00:40:58 2019	 9910.0	 1.00000	 5.17000	 -10.12000	 -3.59000	 -2.69000	 -132.08000	 106.97000	2	
Mon Dec 16 00:40:58 2019	 9911.0	 1.00000	 3.28000	 -14.35000	 -5.49000	 10.47000	 -81.01000	 98.79000	2	
