Mon Dec 16 00:40:57 2019,9901,1,0.28,-7.69,7.7,29.58,-12.39,-0.67,2
Mon Dec 16 00:40:58 2019,9902,1,0.11,-7.66,8.57,27.44,-46.95,-4.85,2
Mon Dec 16 00:40:58 2019,9903,1,1.5,-5.4,11.57,85.37,-143.96,-25.51,2
Mon Dec 16 00:40:58 2019,9904,1,1.08,-9.09,10.25,35.6,-220.95,8.45,2
Mon Dec 16 00:40:58 2019,9905,1,3.54,-5.6,8.8,-13.31,-250.14,-0.31,2
Mon Dec 16 00:40:58 2019,9906,1,5.39,-5.51,6.7,6.04,-250.14,27.71,2
Mon Dec 16 00:40:58 2019,9907,1,4.14,-6.44,1.56,-151.63,-250.14,174.45,2
Mon Dec 16 00:40:58 2019,9908,1,3.35,-5.22,-2.94,-195.68,-250.14,178.61,2
Mon Dec 16 00:40:58 2019,9909,1,4.33,-10.1,-4.81,-136.89,-126.42,129.43,2
Mon Dec 16 00:40:58 2019,9910,1,5.17,-10.12,-3.59,-2.69,-132.08,106.97,2
Mon Dec 16 00:40:58 2019,9911,1,3.28,-14.35,-5.49,10.47,-81.01,98.79,2
Mon Dec 16 00:40:58 2019,9912,1,4.28,-12.26,-4.31,66.73,-56.91,50.23,2
Mon Dec 16 00:40:58 2019,9913,1,3.05,-13.03,-1.51,117.82,-27.5,19.91,2
Mon Dec 16 00:40:58 2019,9914,1,5.01,-10.96,-1.48,118.34,-98.21,39.34,2
Mon Dec 16 00:40:58 2019,9915,1,2.55,-11.21,-1.02,129.94,-145.46,59.03,2
Mon Dec 16 00:40:58 2019,9916,1,0.7,-12.22,-1.48,23.53,-107.84,102.4,2
Mon Dec 16 00:40:58 2019,9917,1,1.1,-12.74,-1.32,131.5,-160.57,97.99,2
Mon Dec 16 00:40:58 2019,9918,1,-1.75,-12.14,-1.49,-32.66,-169.21,61.73,2
Mon Dec 16 00:40:59 2019,9919,1,-3.67,-16,-1.25,143.28,-125.81,47.89,2
Mon Dec 16 00:40:59 2019,9920,1,-1.81,-12.98,-0.14,21.24,-44.11,19.97,2
Mon Dec 16 00:40:59 2019,9921,1,-1.56,-13.83,-0.24,55.28,35.34,-13.21,2
Mon Dec 16 00:40:59 2019,9922,1,-0.57,-13.52,1.75,232.3,-18.54,-48.59,2
Mon Dec 16 00:40:59 2019,9923,1,0.02,-7.7,3.15,123.86,43.77,-6.75,2
Mon Dec 16 00:40:59 2019,9924,1,-0.21,-15.02,3.39,-66.38,169.66,-53.34,2
Mon Dec 16 00:40:59 2019,9925,1,-0.89,-11.98,4.34,72.05,-61.75,-19.47,2
Mon Dec 16 00:40:59 2019,9926,1,-0.23,-12.85,1.32,97.51,-116.13,-43.69,2
Mon Dec 16 00:40:59 2019,9927,1,1.43,-9.47,3.5,130.33,-46.22,80.45,2
Mon Dec 16 00:40:59 2019,9928,1,-0.42,-9.29,5.72,24.85,-21.52,186.31,2
Mon Dec 16 00:40:59 2019,9929,1,-0.43,-12.26,5.32,33.35,0.45,35.54,2
Mon Dec 16 00:40:59 2019,9930,1,-1.9,-11.88,5.9,29.87,-8.89,-38.49,2
Mon Dec 16 00:40:59 2019,9931,1,-1.51,-11.98,4.17,12.68,-81.93,-16.71,2
Mon Dec 16 00:40:59 2019,9932,1,0.01,-11.53,3.97,62.34,-8.11,-74.89,2
Mon Dec 16 00:40:59 2019,9933,1,0.12,-10.83,4.38,-5.85,39.63,-3.15,2
Mon Dec 16 00:40:59 2019,9934,1,-0.25,-11.35,4.54,18.94,71.99,-17.81,2
Mon Dec 16 00:40:59 2019,9935,1,-1.51,-11.38,5.14,-33.53,101.21,21.7,2
Mon Dec 16 00:40:59 2019,9936,1,-1.85,-11.38,5.04,8.93,-16.97,0.34,2
Mon Dec 16 00:41:00 2019,9937,1,-0.69,-10.98,4.36,2.34,13.89,1.17,2
Mon Dec 16 00:41:00 2019,9938,1,-2.59,-11.68,4.93,-34.79,91.67,-1.71,2
Mon Dec 16 00:41:00 2019,9939,1,-2.48,-11.57,4.54,-24.85,32.6,-12.79,2
Mon Dec 16 00:41:00 2019,9940,1,-2.11,-12,4.31,-57.01,66.47,-39.51,2
Mon Dec 16 00:41:00 2019,9941,1,-3.75,-13.95,3.16,-191.6,205.55,-96.78,2
Mon Dec 16 00:41:00 2019,9942,1,-3.88,-14,2.03,-189.3,189.73,-147.8,2
Mon Dec 16 00:41:00 2019,9943,1,-0.71,-12.27,-0.58,-164.19,116.98,-173.4,2
Mon Dec 16 00:41:00 2019,9944,1,0.16,-12.74,-2.03,-210.9,195.03,-170.45,2
Mon Dec 16 00:41:00 2019,9945,1,2.12,-12.92,-1.61,-152.02,105.49,-240.67,2
Mon Dec 16 00:41:00 2019,9946,1,5.55,-9.09,-4.64,-50.71,92.11,-205.44,2
Mon Dec 16 00:41:00 2019,9947,1,6.9,-6.83,-2.9,-15.05,43.82,-158.43,2
Mon Dec 16 00:41:00 2019,9948,1,7.28,-6.47,-4.03,-55.27,75.42,-97.11,2
Mon Dec 16 00:41:00 2019,9949,1,8.38,-5.16,-4.14,17.89,51.59,-63.68,2
Mon Dec 16 00:41:00 2019,9950,1,7.72,-6.9,-3,23.05,48.68,-18.31,2
Mon Dec 16 00:41:00 2019,9951,1,7.89,-7.25,2.9,25.47,-48.34,-24.95,2
Mon Dec 16 00:41:00 2019,9952,1,8.81,-6.74,-3.99,-23.05,-17.66,3.86,2
Mon Dec 16 00:41:00 2019,9953,1,7.3,-7.37,-2.8,-8.15,-3.85,29.91,2
Mon Dec 16 00:41:01 2019,9954,1,7.04,-7.49,-2.77,-3.31,-27.68,9.05,2
Mon Dec 16 00:41:01 2019,9955,1,7.58,-7.38,-3.82,6.37,-10.81,21.36,2
Mon Dec 16 00:41:01 2019,9956,1,7.38,-7.4,-3.02,-2.17,-5.11,20.08,2
Mon Dec 16 00:41:01 2019,9957,1,7.44,-7.79,-3.42,0.87,-0.08,12.72,2
Mon Dec 16 00:41:01 2019,9958,1,7.52,-7.96,-3.32,-5.89,2.52,15.58,2
Mon Dec 16 00:41:01 2019,9959,1,7.17,-8.23,-3.29,-4.1,9.66,17.93,2
Mon Dec 16 00:41:01 2019,9960,1,7.08,-8.22,-2.79,-0.47,15.76,11.77,2
Mon Dec 16 00:41:01 2019,9961,1,7.33,-7.99,-3.09,6.64,9.08,-10.56,2
Mon Dec 16 00:41:01 2019,9962,1,7.39,-7.98,-2.72,10.16,12.97,-20.1,2
Mon Dec 16 00:41:01 2019,9963,1,7.66,-7.77,-2.9,6.21,4.44,-0.78,2
Mon Dec 16 00:41:01 2019,9964,1,7.62,-7.85,-2.55,6.96,7.66,-3.82,2
