Mon Dec 21 16:51:51 2020	 34.0	 2.00000	 -0.09000	 -0.37000	 -7.35000	 -4.76000	 -2.41000	 0.90000	 440.00000  	2	
Mon Dec 21 16:51:52 2020	 35.0	 2.00000	 -0.11000	 -0.35000	 -7.22000	 -4.92000	 -2.43000	 0.91000	 450.00000  	2	
Mon Dec 21 16:51:53 2020	 36.0	 2.00000	 -0.04000	 -0.41000	 -7.18000	 -4.76000	 -1.03000	 1.18000	 440.00000  	2	
Mon Dec 21 16:51:54 2020	 37.0	 2.00000	 -0.30000	 -0.39000	 -7.28000	 -5.14000	 -2.07000	 1.01000	 420.00000  	2	
Mon Dec 21 16:51:55 2020	 38.0	 2.00000	 -0.23000	 -0.26000	 -7.53000	 -5.18000	 -2.58000	 1.20000	 440.00000  	2	
Mon Dec 21 16:51:57 2020	 39.0	 2.00000	 -0.08000	 -0.36000	 -7.24000	 -4.96000	 -2.21000	 1.18000	 470.00000  	2	
Mon Dec 21 16:51:57 2020	 40.0	 2.00000	 -0.08000	 -0.34000	 -7.19000	 -4.99000	 -2.22000	 1.05000	 760.00000  	2	
Mon Dec 21 16:51:59 2020	 41.0	 2.00000	 -0.12000	 -0.36000	 -7.14000	 -4.90000	 -2.31000	 1.04000	 780.00000  	2	
Mon Dec 21 16:52:00 2020	 42.0	 2.00000	 -0.08000	 -0.39000	 -7.17000	 -4.89000	 -2.19000	 0.81000	 740.00000  	2	
Mon Dec 21 16:52:01 2020	 43.0	 2.00000	 -0.11000	 -0.39000	 -7.22000	 -5.05000	 -2.38000	 0.99000	 760.00000  	2	
Mon Dec 21 16:52:02 2020	 44.0	 2.00000	 -0.09000	 -0.39000	 -7.18000	 -4.89000	 -2.27000	 1.13000	 760.00000  	2	
Mon Dec 21 16:52:03 2020	 45.0	 2.00000	 -0.08000	 -0.38000	 -7.19000	 -4.82000	 -2.31000	 1.24000	 750.00000  	2	
Mon Dec 21 16:52:04 2020	 46.0	 2.00000	 -0.05000	 -0.33000	 -7.18000	 -4.78000	 -2.11000	 1.12000	 2200.00000  	2	
Mon Dec 21 16:52:05 2020	 47.0	 2.00000	 -0.10000	 -0.37000	 -7.18000	 -4.95000	 -2.31000	 1.22000	 1380.00000  	2	
Mon Dec 21 16:52:06 2020	 48.0	 2.00000	 -0.08000	 -0.38000	 -7.19000	 -4.96000	 -2.26000	 1.27000	 1660.00000  	2	
Mon Dec 21 16:52:07 2020	 49.0	 2.00000	 -0.04000	 -0.38000	 -7.22000	 -4.88000	 -0.98000	 1.30000	 1640.00000  	2	
Mon Dec 21 16:52:08 2020	 50.0	 2.00000	 -0.07000	 -0.37000	 -7.19000	 -4.74000	 -2.24000	 1.19000	 1660.00000  	2	
Mon Dec 21 16:52:09 2020	 51.0	 2.00000	 -2.25000	 0.31000	 -6.99000	 -4.04000	 8.17000	 0.27000	 1660.00000  	2	
Mon Dec 21 16:52:10 2020	 52.0	 2.00000	 1.43000	 0.10000	 -7.28000	 1.73000	 11.01000	 3.11000	 1700.00000  	2	
Mon Dec 21 16:52:11 2020	 53.0	 2.00000	 -3.03000	 0.60000	 -6.83000	 -2.76000	 -6.02000	 3.05000	 1640.00000  	2	
Mon Dec 21 16:52:12 2020	 54.0	 2.00000	 0.11000	 -0.22000	 -7.06000	 9.33000	 -1.23000	 2.84000	 1640.00000  	2	
Mon Dec 21 16:52:13 2020	 55.0	 2.00000	 0.03000	 -0.35000	 -7.24000	 -4.21000	 -3.27000	 0.99000	 1660.00000  	2	
Mon Dec 21 16:52:14 2020	 56.0	 2.00000	 0.41000	 -0.32000	 -7.22000	 -1.92000	 -1.07000	 0.64000	 1630.00000  	2	
Mon Dec 21 16:52:15 2020	 57.0	 2.00000	 -0.13000	 -0.34000	 -7.36000	 -5.15000	 -0.34000	 1.22000	 300.00000  	2	
Mon Dec 21 16:52:16 2020	 58.0	 2.00000	 0.06000	 -0.39000	 -7.21000	 -4.85000	 -2.02000	 1.06000	 200.00000  	2	
Mon Dec 21 16:52:17 2020	 59.0	 2.00000	 0.10000	 -0.34000	 -7.20000	 -4.95000	 -2.98000	 0.98000	 210.00000  	2	
Mon Dec 21 16:52:18 2020	 60.0	 2.00000	 0.08000	 -0.38000	 -7.18000	 -4.96000	 -2.81000	 0.98000	 150.00000  	2	
Mon Dec 21 16:52:19 2020	 61.0	 2.00000	 0.06000	 -0.41000	 -7.31000	 -4.34000	 -3.32000	 0.00000	 130.00000  	2	
Mon Dec 21 16:52:20 2020	 62.0	 2.00000	 0.01000	 -0.37000	 -7.28000	 -3.84000	 -2.63000	 1.04000	 130.00000  	2	
Mon Dec 21 16:52:22 2020	 64.0	 2.00000	 0.08000	 -0.39000	 -7.13000	 -4.84000	 -2.18000	 1.04000	 0.00000  	2	
Mon Dec 21 16:52:23 2020	 65.0	 2.00000	 0.13000	 -0.36000	 -7.17000	 -4.93000	 -1.92000	 1.13000	 0.00000  	2	
Mon Dec 21 16:52:24 2020	 66.0	 2.00000	 0.11000	 -0.38000	 -7.32000	 -4.94000	 -2.74000	 0.89000	 0.00000  	2	
Mon Dec 21 16:52:25 2020	 67.0	 2.00000	 0.09000	 -0.46000	 -7.21000	 -4.95000	 -2.15000	 1.19000	 0.00000  	2	
Mon Dec 21 16:52:26 2020	 68.0	 2.00000	 0.05000	 -0.39000	 -7.24000	 -4.96000	 -2.18000	 1.01000	 0.00000  	2	
Mon Dec 21 16:52:27 2020	 69.0	 2.00000	 0.06000	 -0.39000	 -7.24000	 -4.94000	 -2.32000	 1.07000	 0.00000  	2	
Mon Dec 21 16:52:28 2020	 70.0	 2.00000	 0.03000	 -0.35000	 -7.15000	 -4.93000	 -2.26000	 1.20000	 0.00000  	2	
Mon Dec 21 16:52:29 2020	 71.0	 2.00000	 0.05000	 -0.37000	 -7.20000	 -4.82000	 -2.37000	 1.22000	 0.00000  	2	
Mon Dec 21 16:52:31 2020	 72.0	 2.00000	 0.05000	 -0.36000	 -7.17000	 -4.94000	 -1.81000	 1.20000	 0.00000  	2	
Mon Dec 21 16:52:33 2020	 74.0	 2.00000	 -0.93000	 -0.59000	 -7.18000	 -4.68000	 -76.18000	 -4.21000	 0.00000  	2	
Mon Dec 21 16:52:34 2020	 75.0	 2.00000	 2.49000	 0.18000	 -7.19000	 -7.74000	 58.73000	 5.44000	 0.00000  	2	
