Thu Dec 17 14:10:55 2020	 3.0	 2.00000	 0.69000	 2.09000	 -7.92000	 -32.31000	 -38.97000	 -42.50000	 0.00000  	2	
Thu Dec 17 14:10:56 2020	 4.0	 2.00000	 1.75000	 3.77000	 -5.80000	 26.40000	 26.62000	 23.85000	 0.00000  	2	
Thu Dec 17 14:10:57 2020	 5.0	 2.00000	 0.58000	 -0.60000	 -6.95000	 -2.66000	 -15.47000	 5.11000	 0.00000  	2	
Thu Dec 17 14:10:58 2020	 6.0	 2.00000	 0.40000	 -0.51000	 -7.17000	 -5.51000	 -5.26000	 0.74000	 0.00000  	2	
Thu Dec 17 14:10:59 2020	 7.0	 2.00000	 -2.20000	 -1.55000	 -7.60000	 -4.72000	 6.71000	 25.31000	 0.00000  	2	
Thu Dec 17 14:11:00 2020	 8.0	 2.00000	 -0.12000	 -0.44000	 -7.26000	 -5.05000	 -11.79000	 -2.96000	 0.00000  	2	
Thu Dec 17 14:11:01 2020	 9.0	 2.00000	 -0.27000	 -0.58000	 -6.83000	 -4.82000	 -1.98000	 0.98000	 0.00000  	2	
Thu Dec 17 14:11:02 2020	 10.0	 2.00000	 -2.56000	 -0.31000	 -6.01000	 -3.70000	 1.26000	 2.32000	 0.00000  	2	
Thu Dec 17 14:11:03 2020	 11.0	 2.00000	 -3.62000	 -0.76000	 -6.40000	 -5.28000	 -8.19000	 -0.52000	 0.00000  	2	
Thu Dec 17 14:11:04 2020	 12.0	 2.00000	 -0.96000	 -0.59000	 -6.93000	 1.43000	 18.95000	 21.37000	 0.00000  	2	
Thu Dec 17 14:11:05 2020	 13.0	 2.00000	 -0.89000	 -0.80000	 -8.89000	 -3.22000	 7.28000	 28.14000	 0.00000  	2	
Thu Dec 17 14:11:06 2020	 14.0	 2.00000	 0.42000	 -0.53000	 -6.87000	 -5.37000	 -3.11000	 6.82000	 0.00000  	2	
Thu Dec 17 14:11:07 2020	 15.0	 2.00000	 -0.16000	 -0.52000	 -7.22000	 -5.43000	 -3.91000	 0.70000	 0.00000  	2	
Thu Dec 17 14:11:08 2020	 16.0	 2.00000	 0.33000	 -0.43000	 -7.18000	 -5.60000	 -4.64000	 1.65000	 0.00000  	2	
Thu Dec 17 14:11:09 2020	 17.0	 2.00000	 0.47000	 -0.48000	 -7.13000	 -4.98000	 -5.72000	 1.27000	 1780.00000  	2	
Thu Dec 17 14:11:10 2020	 18.0	 2.00000	 0.20000	 -0.55000	 -6.87000	 -6.05000	 -3.53000	 -9.18000	 3170.00000  	2	
Thu Dec 17 14:11:11 2020	 19.0	 2.00000	 0.13000	 -0.49000	 -7.24000	 -4.51000	 -4.97000	 -0.97000	 3380.00000  	2	
Thu Dec 17 14:11:12 2020	 20.0	 2.00000	 0.42000	 -0.49000	 -7.17000	 -5.44000	 -2.72000	 -0.23000	 4310.00000  	2	
Thu Dec 17 14:11:13 2020	 21.0	 2.00000	 0.19000	 -0.61000	 -7.23000	 -5.16000	 -1.02000	 0.90000	 4270.00000  	2	
Thu Dec 17 14:11:14 2020	 22.0	 2.00000	 0.59000	 -0.46000	 -7.17000	 -4.77000	 -2.85000	 0.74000	 4260.00000  	2	
Thu Dec 17 14:11:15 2020	 23.0	 2.00000	 0.23000	 -0.62000	 -7.15000	 -4.59000	 -2.36000	 0.39000	 4260.00000  	2	
Thu Dec 17 14:11:16 2020	 24.0	 2.00000	 0.43000	 -0.49000	 -7.15000	 -5.37000	 -3.48000	 1.05000	 4260.00000  	2	
Thu Dec 17 14:11:17 2020	 25.0	 2.00000	 0.27000	 -0.51000	 -7.11000	 -5.11000	 -1.48000	 -0.60000	 4400.00000  	2	
Thu Dec 17 14:11:18 2020	 26.0	 2.00000	 0.19000	 -0.63000	 -7.42000	 -5.05000	 -3.23000	 1.11000	 4360.00000  	2	
Thu Dec 17 14:11:19 2020	 27.0	 2.00000	 -0.57000	 -0.71000	 -7.56000	 -5.34000	 7.51000	 -0.22000	 4210.00000  	2	
Thu Dec 17 14:11:20 2020	 28.0	 2.00000	 0.19000	 -0.57000	 -7.24000	 -5.19000	 -0.93000	 -0.50000	 4510.00000  	2	
Thu Dec 17 14:11:21 2020	 29.0	 2.00000	 0.17000	 -0.53000	 -7.23000	 -5.07000	 -2.25000	 0.96000	 4450.00000  	2	
Thu Dec 17 14:11:23 2020	 30.0	 2.00000	 0.35000	 -0.57000	 -7.17000	 -4.78000	 -2.85000	 0.89000	 4450.00000  	2	
Thu Dec 17 14:11:24 2020	 31.0	 2.00000	 0.16000	 -0.55000	 -7.23000	 -5.02000	 -2.83000	 0.79000	 4330.00000  	2	
Thu Dec 17 14:11:25 2020	 32.0	 2.00000	 0.00000	 -0.81000	 -7.52000	 -4.59000	 -11.95000	 0.21000	 4300.00000  	2	
Thu Dec 17 14:11:26 2020	 33.0	 2.00000	 0.29000	 -0.56000	 -7.21000	 -5.07000	 -3.69000	 -0.31000	 4300.00000  	2	
Thu Dec 17 14:11:27 2020	 34.0	 2.00000	 0.10000	 -0.49000	 -7.31000	 -4.35000	 -1.78000	 0.86000	 4230.00000  	2	
Thu Dec 17 14:11:28 2020	 35.0	 2.00000	 0.24000	 -0.53000	 -7.16000	 -5.13000	 -1.84000	 0.87000	 4200.00000  	2	
Thu Dec 17 14:11:29 2020	 36.0	 2.00000	 0.19000	 -0.54000	 -7.19000	 -5.31000	 -1.76000	 1.06000	 4140.00000  	2	
Thu Dec 17 14:11:30 2020	 37.0	 2.00000	 0.22000	 -0.65000	 -7.31000	 -4.94000	 -2.17000	 0.98000	 4069.00000  	2	
Thu Dec 17 14:11:31 2020	 38.0	 2.00000	 0.14000	 -0.57000	 -7.26000	 -5.26000	 -1.12000	 0.66000	 4020.00000  	2	
Thu Dec 17 14:12:00 2020	 0.0	 2.00000	 0.40000	 -0.56000	 -7.20000	 -5.47000	 -1.74000	 1.47000	 0.00000  	2	
Thu Dec 17 14:12:02 2020	 1.0	 2.00000	 0.50000	 -0.56000	 -7.09000	 -5.43000	 -1.37000	 1.04000	 0.00000  	2	
Thu Dec 17 14:12:03 2020	 2.0	 2.00000	 0.46000	 -0.59000	 -7.19000	 -4.66000	 -3.07000	 0.63000	 0.00000  	2	
Thu Dec 17 14:12:04 2020	 3.0	 2.00000	 0.35000	 -0.57000	 -7.11000	 -5.16000	 -2.51000	 1.00000	 0.00000  	2	
